year,month,unemployment_pc
2006,1,2.9
2006,2,2.9
2006,3,2.7
2006,4,2.4
2006,5,2.7
2006,6,3.1
2006,7,2.7
2006,8,2.6
2006,9,2.5
2006,10,2.4
2006,11,2.4
2006,12,2.4
2007,1,2.9
2007,2,2.9
2007,3,2.8
2007,4,2.6
2007,5,2.6
2007,6,3.3
2007,7,2.8
2007,8,2.8
2007,9,2.6
2007,10,2.5
2007,11,2.6
2007,12,2.8
2008,1,3.1
2008,2,3
2008,3,3
2008,4,2.8
2008,5,3
2008,6,3.8
2008,7,3.5
2008,8,3.5
2008,9,3
2008,10,2.8
2008,11,3
2008,12,3.7
2009,1,4.5
2009,2,4.7
2009,3,4.8
2009,4,4.6
2009,5,4.6
2009,6,5.7
2009,7,5.2
2009,8,5.3
2009,9,4.5
2009,10,4.1
2009,11,4.3
2009,12,4.7
2010,1,4.8
2010,2,4.7
2010,3,4.6
2010,4,3.9
2010,5,4
2010,6,4.7
2010,7,4.3
2010,8,4.4
2010,9,3.8
2010,10,3.5
2010,11,3.6
2010,12,4
