Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
1/1/2018,AQS,150030010,1,4.4,ppb,4,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/2/2018,AQS,150030010,1,11,ppb,10,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/3/2018,AQS,150030010,1,12.2,ppb,11,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/4/2018,AQS,150030010,1,11.2,ppb,10,Kapolei,22,92,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/5/2018,AQS,150030010,1,11.2,ppb,10,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/6/2018,AQS,150030010,1,6.7,ppb,6,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/7/2018,AQS,150030010,1,6.2,ppb,6,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/8/2018,AQS,150030010,1,8.1,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/9/2018,AQS,150030010,1,19,ppb,18,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/10/2018,AQS,150030010,1,24.4,ppb,23,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/11/2018,AQS,150030010,1,16.5,ppb,15,Kapolei,20,83,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/12/2018,AQS,150030010,1,20.7,ppb,19,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/13/2018,AQS,150030010,1,15.6,ppb,14,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/14/2018,AQS,150030010,1,9.6,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/15/2018,AQS,150030010,1,14.2,ppb,13,Kapolei,20,83,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/16/2018,AQS,150030010,1,22.7,ppb,21,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/17/2018,AQS,150030010,1,6.2,ppb,6,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/18/2018,AQS,150030010,1,3.2,ppb,3,Kapolei,20,83,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/19/2018,AQS,150030010,1,9.7,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/20/2018,AQS,150030010,1,12,ppb,11,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/21/2018,AQS,150030010,1,4.2,ppb,4,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/22/2018,AQS,150030010,1,10.1,ppb,9,Kapolei,20,83,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/23/2018,AQS,150030010,1,9.6,ppb,8,Kapolei,22,92,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/24/2018,AQS,150030010,1,9.1,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/25/2018,AQS,150030010,1,22.3,ppb,21,Kapolei,19,79,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/26/2018,AQS,150030010,1,28.4,ppb,26,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/27/2018,AQS,150030010,1,14.2,ppb,13,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/28/2018,AQS,150030010,1,9.8,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/29/2018,AQS,150030010,1,19.6,ppb,18,Kapolei,20,83,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/30/2018,AQS,150030010,1,22.2,ppb,21,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
1/31/2018,AQS,150030010,1,9.8,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
2/1/2018,AQS,150030010,1,4.5,ppb,4,Kapolei,20,83,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
2/2/2018,AQS,150030010,1,9.6,ppb,8,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
2/3/2018,AQS,150030010,1,10.9,ppb,9,Kapolei,24,100,42602,Nitrogen dioxide (NO2),46520,"Urban Honolulu, HI",15,Hawaii,3,Honolulu,21.32374479,-158.0886127
