Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE,year,site
1999-01-01,AQS,490353006,1,40.0,ppb,38,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-02,AQS,490353006,1,44.0,ppb,42,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-03,AQS,490353006,1,46.0,ppb,43,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-04,AQS,490353006,1,52.0,ppb,49,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-05,AQS,490353006,1,58.0,ppb,55,Hawthorne,23,96.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-06,AQS,490353006,1,50.0,ppb,47,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-07,AQS,490353006,1,57.0,ppb,54,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-08,AQS,490353006,1,44.0,ppb,42,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-09,AQS,490353006,1,45.0,ppb,42,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-10,AQS,490353006,1,45.0,ppb,42,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-11,AQS,490353006,1,54.0,ppb,51,Hawthorne,22,92.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-12,AQS,490353006,1,49.0,ppb,46,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-13,AQS,490353006,1,52.0,ppb,49,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-14,AQS,490353006,1,54.0,ppb,51,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-15,AQS,490353006,1,48.0,ppb,45,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-16,AQS,490353006,1,38.0,ppb,36,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-17,AQS,490353006,1,44.0,ppb,42,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-18,AQS,490353006,1,42.0,ppb,40,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-19,AQS,490353006,1,43.0,ppb,41,Hawthorne,23,96.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-20,AQS,490353006,1,39.0,ppb,37,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-21,AQS,490353006,1,37.0,ppb,35,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-22,AQS,490353006,1,45.0,ppb,42,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-23,AQS,490353006,1,38.0,ppb,36,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-24,AQS,490353006,1,49.0,ppb,46,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-25,AQS,490353006,1,47.0,ppb,44,Hawthorne,22,92.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-26,AQS,490353006,1,43.0,ppb,41,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-27,AQS,490353006,1,47.0,ppb,44,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-28,AQS,490353006,1,55.0,ppb,52,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-29,AQS,490353006,1,64.0,ppb,62,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-30,AQS,490353006,1,56.0,ppb,53,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-01-31,AQS,490353006,1,55.0,ppb,52,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-01,AQS,490353006,1,50.0,ppb,47,Hawthorne,23,96.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-02,AQS,490353006,1,60.0,ppb,57,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-03,AQS,490353006,1,74.0,ppb,72,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-04,AQS,490353006,1,52.0,ppb,49,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-05,AQS,490353006,1,51.0,ppb,48,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-06,AQS,490353006,1,44.0,ppb,42,Hawthorne,23,96.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-07,AQS,490353006,1,11.0,ppb,10,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-08,AQS,490353006,1,45.0,ppb,42,Hawthorne,23,96.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-09,AQS,490353006,1,40.0,ppb,38,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-10,AQS,490353006,1,21.0,ppb,20,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-11,AQS,490353006,1,56.0,ppb,53,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-12,AQS,490353006,1,68.0,ppb,66,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-13,AQS,490353006,1,67.0,ppb,65,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-14,AQS,490353006,1,56.0,ppb,53,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-15,AQS,490353006,1,53.0,ppb,50,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-16,AQS,490353006,1,51.0,ppb,48,Hawthorne,23,96.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-17,AQS,490353006,1,52.0,ppb,49,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-18,AQS,490353006,1,50.0,ppb,47,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-19,AQS,490353006,1,43.0,ppb,41,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-20,AQS,490353006,1,55.0,ppb,52,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-21,AQS,490353006,1,50.0,ppb,47,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-22,AQS,490353006,1,53.0,ppb,50,Hawthorne,22,92.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-23,AQS,490353006,1,48.0,ppb,45,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-24,AQS,490353006,1,50.0,ppb,47,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-25,AQS,490353006,1,43.0,ppb,41,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-26,AQS,490353006,1,52.0,ppb,49,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-27,AQS,490353006,1,56.0,ppb,53,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-02-28,AQS,490353006,1,50.0,ppb,47,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-01,AQS,490353006,1,51.0,ppb,48,Hawthorne,23,96.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-02,AQS,490353006,1,56.0,ppb,53,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-03,AQS,490353006,1,44.0,ppb,42,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-04,AQS,490353006,1,56.0,ppb,53,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-05,AQS,490353006,1,44.0,ppb,42,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-06,AQS,490353006,1,53.0,ppb,50,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-07,AQS,490353006,1,48.0,ppb,45,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-08,AQS,490353006,1,47.0,ppb,44,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-09,AQS,490353006,1,53.0,ppb,50,Hawthorne,23,96.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-10,AQS,490353006,1,60.0,ppb,57,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-13,AQS,490353006,1,63.0,ppb,61,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
1999-03-14,AQS,490353006,1,57.0,ppb,54,Hawthorne,24,100.0,42602,Nitrogen dioxide (NO2),41620,"Salt Lake City, UT",49,Utah,35,Salt Lake,40.736389,-111.872222,1999,SLC
